state,num_inspections,year,num_violations,Pesticide_applied_acreage,hired_farm_labor,violations_per_inspection,pesticide_per_worker,FERI,cluster
TEXAS,178.0,2012,22.0,28837854,160392,0.12359550561797752,179.79608708663773,89.95984129612785,0
TEXAS,75.0,2017,20.0,29641067,143763,0.26666666666666666,206.1800811057087,103.22337388618767,0
UTAH,25.0,2012,2.0,1063391,17927,0.08,59.317844591956266,29.698922295978132,0
VERMONT,2.0,2012,0.0,140303,9216,0.0,15.22384982638889,7.611924913194445,0
VERMONT,9.0,2017,3.0,127324,8458,0.3333333333333333,15.053676992196737,7.693505162765035,0
VIRGINIA,40.0,2012,0.0,2677610,46561,0.0,57.50757071368742,28.75378535684371,0
VIRGINIA,37.0,2017,0.0,2927217,39657,0.0,73.81337468794916,36.90668734397458,0
WASHINGTON,40.0,2012,122.0,7720909,256036,3.05,30.15556015560312,16.602780077801558,2
WASHINGTON,52.0,2017,268.0,8388494,228588,5.153846153846154,36.697000717447985,20.92542343564707,2
WEST VIRGINIA,11.0,2017,0.0,176778,9025,0.0,19.58759002770083,9.793795013850415,0
WISCONSIN,28.0,2012,25.0,10199186,79590,0.8928571428571429,128.14657620304058,64.51971667294886,0
WISCONSIN,43.0,2017,98.0,9497150,72425,2.2790697674418605,131.1308249913704,66.70494737940612,2
